Time,Maximum Value,Average
0,3371,3141.75
1,3553,3462.09
2,3671,3579.63
3,3916,3824.07
4,4081,4007.66
5,4191,4136.61
6,4284,4217.66
7,4323,4268.7
8,4335,4301.39
9,4369,4327.95
10,4383,4349.48
11,4397,4366.65
12,4411,4379.03
13,4417,4391.75
14,4430,4404.99
15,4445,4416.87
16,4451,4426.91
17,4457,4434.21
18,4459,4440.13
19,4465,4445.94
20,4472,4451.66
21,4480,4455.67
22,4487,4460.05
23,4487,4464.96
24,4487,4469.76
25,4493,4473.54
26,4494,4478.48
27,4506,4482.72
28,4506,4486.01
29,4508,4489.39
30,4519,4493.37
31,4519,4497.27
32,4519,4501.41
33,4525,4506.71
34,4532,4510.41
35,4532,4514.43
36,4533,4518.48
37,4534,4522.59
38,4537,4524.65
39,4537,4527.26
40,4541,4529.13
41,4543,4531.39
42,4544,4533.29
43,4545,4535.63
44,4548,4536.69
45,4548,4538.43
46,4548,4539.33
47,4548,4540.4
48,4549,4542.42
49,4549,4542.87
50,4553,4543.64
51,4553,4544.2
52,4553,4544.71
53,4554,4544.97
54,4554,4545.92
55,4554,4546.37
56,4556,4546.65
57,4556,4547.51
58,4556,4548.31
59,4556,4549.61
60,4556,4549.52
61,4556,4550.14
62,4557,4550.66
63,4557,4551.34
64,4559,4551.36
65,4559,4552.05
66,4559,4552.71
67,4559,4552.54
68,4559,4553.54
69,4559,4553.06
70,4561,4553.13
71,4561,4553.19
72,4563,4554.03
73,4563,4554.73
74,4563,4555.14
75,4563,4554.23
76,4563,4555.53
77,4563,4555.77
78,4563,4556.16
79,4563,4556.64
80,4563,4556.88
81,4566,4558.28
82,4566,4557.71
83,4566,4559.13
84,4568,4559.63
85,4572,4560.5
86,4572,4561.61
87,4575,4563.84
88,4575,4565.6
89,4575,4567.06
90,4575,4567.85
91,4575,4569.38
92,4575,4569.41
93,4576,4570.18
94,4577,4571.05
95,4577,4572.56
96,4577,4572.19
97,4577,4572.79
98,4577,4572.41
99,4577,4572.87
100,4577,4572.23
101,4577,4572.13
102,4577,4572.9
103,4578,4573.54
104,4578,4573.91
105,4578,4574.22
106,4578,4574.66
107,4578,4574.3
108,4578,4573.97
109,4578,4573.78
110,4578,4575
111,4578,4574.32
112,4578,4574.97
113,4578,4574.28
114,4578,4575.31
115,4578,4575.07
116,4578,4574.81
117,4578,4575.18
118,4578,4575.26
119,4579,4575.25
120,4579,4574.05
121,4579,4575.49
122,4579,4575.3
123,4579,4575.29
124,4579,4575.17
125,4579,4575.66
126,4579,4575.44
127,4579,4575.25
128,4579,4575.14
129,4579,4575.32
130,4579,4575.36
131,4579,4574.64
132,4579,4574.99
133,4579,4575.64
134,4579,4575.13
135,4579,4574.91
136,4579,4575.31
137,4579,4574.87
138,4579,4574.65
139,4579,4575.06
140,4579,4575.71
141,4579,4575.53
142,4579,4575.92
143,4579,4575.81
144,4579,4575.27
145,4579,4574.85
146,4579,4574.83
147,4579,4575.89
148,4579,4575.64
149,4579,4575.3
150,4579,4575.38
151,4579,4575.5
152,4579,4575.27
153,4579,4575.4
154,4579,4574.94
155,4579,4575.2
156,4579,4574.82
157,4579,4574.93
158,4579,4575.62
159,4579,4575.43
160,4579,4574.78
161,4579,4574.59
162,4579,4575.08
163,4579,4575.96
164,4579,4574.58
165,4579,4575.54
166,4579,4575.72
167,4579,4575.33
168,4579,4574.57
169,4579,4575.03
170,4579,4574.81
171,4579,4575.49
172,4579,4576.1
173,4579,4575.92
174,4579,4575.28
175,4579,4568.46